ue,thr,x,se,rtx,rtse
1,2,131.87,0.043022,132.05,0.035535
1,4,131.52,0.036391,132.55,0.044272
1,8,131.67,0.035455,132.2,0.030775
2,2,150.73,0.654,161.43,0.763
2,4,156.74,0.6004,154.16,0.5714
2,8,145.95,0.4967,145.43,0.5058
4,2,232.35,1.259,221.07,1.6933
4,4,194.34,1.048,189.4,1.0067
4,8,170.93,0.9767,165.62,0.9407
8,2,409.26,5.5482,409.63,7.5466
8,4,367.06,7.7887,348.63,7.7883
8,8,287.65,5.6311,269.92,5.604
16,2,707.97,16.398,1019.8,18.359
16,4,994.4,19.175,953.09,18.379
16,8,595.4,17.159,538.64,15.777
