supi,lcsid,ngap_amf,ngap_ran
imsi-001010003201001,1,0,0
imsi-001010353241601,2,1,1
imsi-901010003201054,3,2,2
imsi-001010067891001,4,3,3
imsi-001010045670001,5,4,4
imsi-001011635161813,6,5,5
imsi-001010784698090,7,6,6
imsi-001011248841703,8,7,7
imsi-001010493958121,9,8,8
imsi-001010857014494,10,9,9
imsi-001011927181163,11,10,10
imsi-001011414990144,12,11,11
imsi-001011427690938,13,12,12
imsi-001012002607050,14,13,13
imsi-001011016832510,15,14,14
imsi-001011146484667,16,15,15
imsi-001011790369246,17,16,16
imsi-001010779543893,18,17,17
imsi-001010794722891,19,18,18
imsi-001011524522787,20,19,19
imsi-001011968235537,21,20,20
imsi-001011255788549,22,21,21
imsi-001010872860010,23,22,22
imsi-001010604079068,24,23,23
imsi-001010663066211,25,24,24
imsi-001010644198396,26,25,25
imsi-001011580192051,27,26,26
imsi-001010742869219,28,27,27
imsi-001010613496589,29,28,28
imsi-001011447566866,30,29,29
imsi-001011455009837,31,30,30
imsi-001012092011079,32,31,31
