supi,lcsid,ngap_amf,ngap_ran
imsi-001010003201001,1,0,0
imsi-001010353241601,2,1,1
imsi-901010003201054,3,2,2
imsi-001010067891001,4,3,3
imsi-001010045670001,5,4,4
imsi-001011635161813,6,5,5
imsi-001010784698090,7,6,6
imsi-001011248841703,8,7,7
imsi-001010493958121,9,8,8
imsi-001010857014494,10,9,9
imsi-001011927181163,11,10,10
imsi-001011414990144,12,11,11
imsi-001011427690938,13,12,12
imsi-001012002607050,14,13,13
imsi-001011016832510,15,14,14
imsi-001011146484667,16,15,15
imsi-001011790369246,17,16,16
imsi-001010779543893,18,17,17
imsi-001010794722891,19,18,18
imsi-001011524522787,20,19,19
imsi-001011968235537,21,20,20
imsi-001011255788549,22,21,21
imsi-001010872860010,23,22,22
imsi-001010604079068,24,23,23
imsi-001010663066211,25,24,24
imsi-001010644198396,26,25,25
imsi-001011580192051,27,26,26
imsi-001010742869219,28,27,27
imsi-001010613496589,29,28,28
imsi-001011447566866,30,29,29
imsi-001011455009837,31,30,30
imsi-001012092011079,32,31,31
imsi-001010161705770,33,32,32
imsi-001010657206595,34,33,33
imsi-001011339422614,35,34,34
imsi-001011920481276,36,35,35
imsi-001010144884660,37,36,36
imsi-001012124120604,38,37,37
imsi-001011021839231,39,38,38
imsi-001010638842681,40,39,39
imsi-001010833651351,41,40,40
imsi-001010801536647,42,41,41
imsi-001012053832725,43,42,42
imsi-001010113858541,44,43,43
imsi-001010656659949,45,44,44
imsi-001010923181487,46,45,45
imsi-001011260343108,47,46,46
imsi-001010299545448,48,47,47
imsi-001011702725281,49,48,48
imsi-001012055065899,50,49,49
imsi-001011824068135,51,50,50
imsi-001011523477070,52,51,51
imsi-001011163370700,53,52,52
imsi-001010549444397,54,53,53
imsi-001012127556038,55,54,54
imsi-001011826436811,56,55,55
imsi-001011193642693,57,56,56
imsi-001011560264341,58,57,57
imsi-001010421822283,59,58,58
imsi-001011807139183,60,59,59
imsi-001010860347459,61,60,60
imsi-001011876832020,62,61,61
imsi-001011751666514,63,62,62
imsi-001011022053130,64,63,63
imsi-001010386554867,65,64,64
imsi-001010943605381,66,65,65
imsi-001010795050658,67,66,66
imsi-001010531439427,68,67,67
imsi-001010920242237,69,68,68
imsi-001011816889789,70,69,69
imsi-001011170282009,71,70,70
imsi-001011753893488,72,71,71
imsi-001010470942688,73,72,72
imsi-001011076630986,74,73,73
imsi-001011867751929,75,74,74
imsi-001011127602538,76,75,75
imsi-001011999812374,77,76,76
imsi-001010980611289,78,77,77
imsi-001011427147886,79,78,78
imsi-001011555053907,80,79,79
imsi-001010888193441,81,80,80
imsi-001011103732273,82,81,81
imsi-001010931047229,83,82,82
imsi-001012051564041,84,83,83
imsi-001011653176570,85,84,84
imsi-001010911119519,86,85,85
imsi-001011730517105,87,86,86
imsi-001010699335515,88,87,87
imsi-001010323900112,89,88,88
imsi-001010004855640,90,89,89
imsi-001010358990950,91,90,90
imsi-001011184247471,92,91,91
imsi-001011881687560,93,92,92
imsi-001012110657365,94,93,93
imsi-001010058816853,95,94,94
imsi-001010120758680,96,95,95
imsi-001010906778998,97,96,96
imsi-001010853867411,98,97,97
imsi-001010652198007,99,98,98
imsi-001011827021135,100,99,99
imsi-001010523273453,101,100,100
imsi-001011822479916,102,101,101
imsi-001011433430876,103,102,102
imsi-001010994216041,104,103,103
imsi-001010751627155,105,104,104
imsi-001011153699057,106,105,105
imsi-001012121818479,107,106,106
imsi-001010603955781,108,107,107
imsi-001012134310247,109,108,108
imsi-001011401482617,110,109,109
imsi-001010011525940,111,110,110
imsi-001010875019940,112,111,111
imsi-001010357731142,113,112,112
imsi-001010942573069,114,113,113
imsi-001010779100233,115,114,114
imsi-001012010907612,116,115,115
imsi-001011853692488,117,116,116
imsi-001010362133590,118,117,117
imsi-001010562759380,119,118,118
imsi-001010030108852,120,119,119
imsi-001010366989130,121,120,120
imsi-001010921750230,122,121,121
imsi-001011214356223,123,122,122
imsi-001010101192943,124,123,123
imsi-001010884923847,125,124,124
imsi-001011273172977,126,125,125
imsi-001010221951523,127,126,126
imsi-001011791702745,128,127,127
imsi-001012127040288,129,128,128
imsi-001010874149430,130,129,129
imsi-001011471240133,131,130,130
imsi-001010502829993,132,131,131
imsi-001010549145599,133,132,132
imsi-001010757187261,134,133,133
imsi-001011497045935,135,134,134
imsi-001011300772654,136,135,135
imsi-001011910886218,137,136,136
imsi-001011471380666,138,137,137
imsi-001011904728335,139,138,138
imsi-001011897712717,140,139,139
imsi-001010725379536,141,140,140
imsi-001011916254175,142,141,141
imsi-001010625248909,143,142,142
imsi-001011083110578,144,143,143
imsi-001010711343496,145,144,144
imsi-001011404349043,146,145,145
imsi-001010946534443,147,146,146
imsi-001010417552236,148,147,147
imsi-001011766482533,149,148,148
imsi-001011509293723,150,149,149
imsi-001010447660988,151,150,150
imsi-001012133471564,152,151,151
imsi-001010283560205,153,152,152
imsi-001011662017111,154,153,153
imsi-001010087180759,155,154,154
imsi-001011168483953,156,155,155
imsi-001010787706340,157,156,156
imsi-001010309132182,158,157,157
imsi-001010812702950,159,158,158
imsi-001010767262881,160,159,159
imsi-001011183281512,161,160,160
imsi-001010136459335,162,161,161
imsi-001011270092774,163,162,162
imsi-001011732427011,164,163,163
imsi-001010893646496,165,164,164
imsi-001010619654961,166,165,165
imsi-001010885715917,167,166,166
imsi-001010657048967,168,167,167
imsi-001012091035528,169,168,168
imsi-001010642960504,170,169,169
imsi-001010407277936,171,170,170
imsi-001010668931316,172,171,171
imsi-001010411730931,173,172,172
imsi-001011032526746,174,173,173
imsi-001011752041794,175,174,174
imsi-001011123074327,176,175,175
imsi-001010289392041,177,176,176
imsi-001010551092489,178,177,177
imsi-001011540626463,179,178,178
imsi-001012055874474,180,179,179
imsi-001012060386112,181,180,180
imsi-001011988287351,182,181,181
imsi-001012041862290,183,182,182
imsi-001010196462570,184,183,183
imsi-001011502820715,185,184,184
imsi-001012129042949,186,185,185
imsi-001011364946423,187,186,186
imsi-001010143043307,188,187,187
imsi-001010290691383,189,188,188
imsi-001010030165625,190,189,189
imsi-001010910306088,191,190,190
imsi-001011473972796,192,191,191
imsi-001010166624861,193,192,192
imsi-001010032915115,194,193,193
imsi-001011058916059,195,194,194
imsi-001011060271257,196,195,195
imsi-001010652569976,197,196,196
imsi-001011944631877,198,197,197
imsi-001011717320124,199,198,198
imsi-001010596121756,200,199,199
imsi-001010440108633,201,200,200
imsi-001012124597961,202,201,201
imsi-001011265052972,203,202,202
imsi-001010851839465,204,203,203
imsi-001011009640959,205,204,204
imsi-001010869611019,206,205,205
imsi-001011974913692,207,206,206
imsi-001011299032900,208,207,207
imsi-001011420703408,209,208,208
imsi-001011368056408,210,209,209
imsi-001011207423626,211,210,210
imsi-001011333605773,212,211,211
imsi-001011208860011,213,212,212
imsi-001011101802169,214,213,213
imsi-001011530068243,215,214,214
imsi-001010564196978,216,215,215
imsi-001011083361370,217,216,216
imsi-001010747530918,218,217,217
imsi-001010707240186,219,218,218
imsi-001011374052654,220,219,219
imsi-001010777696443,221,220,220
imsi-001011617546174,222,221,221
imsi-001010700541702,223,222,222
imsi-001010944321204,224,223,223
imsi-001011650461189,225,224,224
imsi-001011759457661,226,225,225
imsi-001012004592362,227,226,226
imsi-001010155547418,228,227,227
imsi-001011556605790,229,228,228
imsi-001011574428738,230,229,229
imsi-001010751669074,231,230,230
imsi-001011996714324,232,231,231
imsi-001011551542951,233,232,232
imsi-001012016721947,234,233,233
imsi-001010701070041,235,234,234
imsi-001010413700162,236,235,235
imsi-001010738849218,237,236,236
imsi-001010528499985,238,237,237
imsi-001011712732962,239,238,238
imsi-001010012068878,240,239,239
imsi-001011896556293,241,240,240
imsi-001010772672841,242,241,241
imsi-001011345674551,243,242,242
imsi-001010957932557,244,243,243
imsi-001011874474910,245,244,244
imsi-001010728259046,246,245,245
imsi-001011522129435,247,246,246
imsi-001010810352532,248,247,247
imsi-001011475789864,249,248,248
imsi-001010081885873,250,249,249
imsi-001010036921438,251,250,250
imsi-001010106002560,252,251,251
imsi-001011699431948,253,252,252
imsi-001010737463040,254,253,253
imsi-001011050323664,255,254,254
imsi-001011202409389,256,255,255
